x,y,z,T,Ux,Uy,Uz,p,source
2.8500,0.6500,0.0500,295.918,-0.1893,0.3254,-0.0106,100032.00,vane25
2.9500,0.6500,0.0500,295.900,-0.1829,0.3289,-0.0113,100032.00,vane25
3.0500,0.6500,0.0500,295.884,-0.1746,0.3311,-0.0121,100032.00,vane25
3.1500,0.6500,0.0500,295.870,-0.1644,0.3320,-0.0128,100032.00,vane25
3.2500,0.6500,0.0500,295.859,-0.1524,0.3313,-0.0134,100032.00,vane25
3.3500,0.6500,0.0500,295.851,-0.1384,0.3289,-0.0141,100032.00,vane25
3.4500,0.6500,0.0500,295.844,-0.1225,0.3248,-0.0148,100032.00,vane25
3.5500,0.6500,0.0500,295.840,-0.1044,0.3190,-0.0155,100032.00,vane25
3.6500,0.6500,0.0500,295.839,-0.0842,0.3119,-0.0162,100032.00,vane25
3.7500,0.6500,0.0500,295.840,-0.0619,0.3040,-0.0167,100032.00,vane25
3.8500,0.6500,0.0500,295.843,-0.0372,0.2964,-0.0166,100032.00,vane25
3.9500,0.6500,0.0500,295.848,-0.0141,0.2897,-0.0161,100032.00,vane25
4.0500,0.6500,0.0500,295.848,0.0141,0.2897,-0.0161,100032.00,vane25
4.1500,0.6500,0.0500,295.843,0.0372,0.2964,-0.0166,100032.00,vane25
4.2500,0.6500,0.0500,295.840,0.0619,0.3040,-0.0167,100032.00,vane25
4.3500,0.6500,0.0500,295.839,0.0842,0.3118,-0.0162,100032.00,vane25
4.4500,0.6500,0.0500,295.840,0.1044,0.3190,-0.0155,100032.00,vane25
4.5500,0.6500,0.0500,295.844,0.1225,0.3248,-0.0148,100032.00,vane25
4.6500,0.6500,0.0500,295.851,0.1384,0.3289,-0.0141,100032.00,vane25
4.7500,0.6500,0.0500,295.859,0.1524,0.3313,-0.0134,100032.00,vane25
4.8500,0.6500,0.0500,295.870,0.1644,0.3320,-0.0128,100032.00,vane25
4.9500,0.6500,0.0500,295.884,0.1746,0.3311,-0.0121,100032.00,vane25
5.0500,0.6500,0.0500,295.900,0.1829,0.3289,-0.0113,100032.00,vane25
5.1500,0.6500,0.0500,295.918,0.1893,0.3254,-0.0106,100032.00,vane25
5.2500,0.6500,0.0500,295.938,0.1938,0.3209,-0.0098,100032.00,vane25
5.3500,0.6500,0.0500,295.961,0.1964,0.3154,-0.0090,100032.00,vane25
5.4500,0.6500,0.0500,295.987,0.1972,0.3091,-0.0083,100032.00,vane25
5.5500,0.6500,0.0500,296.014,0.1964,0.3019,-0.0077,100032.00,vane25
5.6500,0.6500,0.0500,296.044,0.1942,0.2937,-0.0072,100032.00,vane25
5.7500,0.6500,0.0500,296.075,0.1919,0.2842,-0.0068,100032.00,vane25
2.2500,0.7500,0.0500,296.098,-0.1777,0.2877,-0.0026,100032.00,vane25
2.3500,0.7500,0.0500,296.068,-0.1808,0.2969,-0.0033,100032.00,vane25
2.4500,0.7500,0.0500,296.040,-0.1835,0.3045,-0.0040,100032.00,vane25
2.5500,0.7500,0.0500,296.014,-0.1847,0.3108,-0.0046,100032.00,vane25
2.6500,0.7500,0.0500,295.990,-0.1842,0.3161,-0.0053,100032.00,vane25
2.7500,0.7500,0.0500,295.969,-0.1820,0.3204,-0.0059,100032.00,vane25
2.8500,0.7500,0.0500,295.950,-0.1781,0.3238,-0.0066,100032.00,vane25
2.9500,0.7500,0.0500,295.933,-0.1723,0.3261,-0.0072,100032.00,vane25
3.0500,0.7500,0.0500,295.919,-0.1648,0.3272,-0.0078,100032.00,vane25
3.1500,0.7500,0.0500,295.908,-0.1555,0.3269,-0.0083,100032.00,vane25
3.2500,0.7500,0.0500,295.898,-0.1444,0.3251,-0.0089,100032.00,vane25
3.3500,0.7500,0.0500,295.892,-0.1315,0.3216,-0.0094,100032.00,vane25
3.4500,0.7500,0.0500,295.887,-0.1168,0.3165,-0.0100,100032.00,vane25
3.5500,0.7500,0.0500,295.885,-0.0999,0.3098,-0.0106,100032.00,vane25
3.6500,0.7500,0.0500,295.885,-0.0809,0.3019,-0.0113,100032.00,vane25
3.7500,0.7500,0.0500,295.887,-0.0598,0.2935,-0.0119,100032.00,vane25
3.8500,0.7500,0.0500,295.891,-0.0363,0.2856,-0.0120,100032.00,vane25
3.9500,0.7500,0.0500,295.896,-0.0139,0.2788,-0.0120,100032.00,vane25
4.0500,0.7500,0.0500,295.896,0.0139,0.2788,-0.0120,100032.00,vane25
4.1500,0.7500,0.0500,295.891,0.0363,0.2856,-0.0120,100032.00,vane25
4.2500,0.7500,0.0500,295.887,0.0598,0.2935,-0.0119,100032.00,vane25
4.3500,0.7500,0.0500,295.885,0.0809,0.3019,-0.0113,100032.00,vane25
4.4500,0.7500,0.0500,295.885,0.0999,0.3098,-0.0106,100032.00,vane25
4.5500,0.7500,0.0500,295.887,0.1168,0.3165,-0.0100,100032.00,vane25
4.6500,0.7500,0.0500,295.892,0.1315,0.3216,-0.0094,100032.00,vane25
