t_s,point,ue_x,ue_y,z,T_C,U_mag
39.1,A,4.00,2.00,0.10,28.850,0.2102
39.1,A,4.00,2.00,1.10,28.850,0.1294
39.1,A,4.00,2.00,1.70,28.850,0.0808
39.1,B,7.50,0.80,0.10,28.850,0.1784
39.1,B,7.50,0.80,1.10,28.850,0.0257
39.1,B,7.50,0.80,1.70,28.850,0.0398
39.1,C,4.00,4.50,0.10,28.850,0.1781
39.1,C,4.00,4.50,1.10,28.850,0.0006
39.1,C,4.00,4.50,1.70,28.850,0.0007
39.1,D,0.50,0.80,0.10,28.850,0.1784
39.1,D,0.50,0.80,1.10,28.850,0.0257
39.1,D,0.50,0.80,1.70,28.850,0.0398
40.25,A,4.00,2.00,0.10,28.850,0.2138
40.25,A,4.00,2.00,1.10,28.850,0.1316
40.25,A,4.00,2.00,1.70,28.850,0.0822
40.25,B,7.50,0.80,0.10,28.850,0.1814
40.25,B,7.50,0.80,1.10,28.850,0.0262
40.25,B,7.50,0.80,1.70,28.850,0.0405
40.25,C,4.00,4.50,0.10,28.850,0.1812
40.25,C,4.00,4.50,1.10,28.850,0.0007
40.25,C,4.00,4.50,1.70,28.850,0.0007
40.25,D,0.50,0.80,0.10,28.850,0.1814
40.25,D,0.50,0.80,1.10,28.850,0.0262
40.25,D,0.50,0.80,1.70,28.850,0.0405
41.4,A,4.00,2.00,0.10,28.850,0.2173
41.4,A,4.00,2.00,1.10,28.850,0.1337
41.4,A,4.00,2.00,1.70,28.850,0.0835
41.4,B,7.50,0.80,0.10,28.850,0.1844
41.4,B,7.50,0.80,1.10,28.850,0.0266
41.4,B,7.50,0.80,1.70,28.850,0.0411
41.4,C,4.00,4.50,0.10,28.850,0.1841
41.4,C,4.00,4.50,1.10,28.850,0.0007
41.4,C,4.00,4.50,1.70,28.850,0.0007
41.4,D,0.50,0.80,0.10,28.850,0.1844
41.4,D,0.50,0.80,1.10,28.850,0.0266
41.4,D,0.50,0.80,1.70,28.850,0.0411
42.55,A,4.00,2.00,0.10,28.850,0.2207
42.55,A,4.00,2.00,1.10,28.850,0.1358
42.55,A,4.00,2.00,1.70,28.850,0.0848
42.55,B,7.50,0.80,0.10,28.850,0.1873
42.55,B,7.50,0.80,1.10,28.850,0.0270
42.55,B,7.50,0.80,1.70,28.850,0.0418
42.55,C,4.00,4.50,0.10,28.850,0.1870
42.55,C,4.00,4.50,1.10,28.850,0.0007
42.55,C,4.00,4.50,1.70,28.850,0.0007
42.55,D,0.50,0.80,0.10,28.850,0.1873
42.55,D,0.50,0.80,1.10,28.850,0.0270
42.55,D,0.50,0.80,1.70,28.850,0.0418
43.7,A,4.00,2.00,0.10,28.850,0.2240
43.7,A,4.00,2.00,1.10,28.850,0.1378
43.7,A,4.00,2.00,1.70,28.850,0.0861
43.7,B,7.50,0.80,0.10,28.850,0.1900
43.7,B,7.50,0.80,1.10,28.850,0.0274
43.7,B,7.50,0.80,1.70,28.850,0.0424
43.7,C,4.00,4.50,0.10,28.850,0.1898
43.7,C,4.00,4.50,1.10,28.850,0.0007
43.7,C,4.00,4.50,1.70,28.850,0.0007
43.7,D,0.50,0.80,0.10,28.850,0.1900
43.7,D,0.50,0.80,1.10,28.850,0.0274
43.7,D,0.50,0.80,1.70,28.850,0.0424
44.85,A,4.00,2.00,0.10,28.850,0.2272
44.85,A,4.00,2.00,1.10,28.850,0.1398
44.85,A,4.00,2.00,1.70,28.850,0.0873
44.85,B,7.50,0.80,0.10,28.850,0.1928
44.85,B,7.50,0.80,1.10,28.850,0.0278
44.85,B,7.50,0.80,1.70,28.850,0.0430
44.85,C,4.00,4.50,0.10,28.850,0.1925
44.85,C,4.00,4.50,1.10,28.850,0.0007
44.85,C,4.00,4.50,1.70,28.850,0.0007
44.85,D,0.50,0.80,0.10,28.850,0.1928
44.85,D,0.50,0.80,1.10,28.850,0.0278
44.85,D,0.50,0.80,1.70,28.850,0.0430
46.0,A,4.00,2.00,0.10,28.850,0.2303
46.0,A,4.00,2.00,1.10,28.850,0.1417
46.0,A,4.00,2.00,1.70,28.850,0.0885
46.0,B,7.50,0.80,0.10,28.850,0.1954
46.0,B,7.50,0.80,1.10,28.850,0.0282
46.0,B,7.50,0.80,1.70,28.850,0.0436
46.0,C,4.00,4.50,0.10,28.850,0.1951
46.0,C,4.00,4.50,1.10,28.850,0.0007
46.0,C,4.00,4.50,1.70,28.850,0.0007
46.0,D,0.50,0.80,0.10,28.850,0.1954
46.0,D,0.50,0.80,1.10,28.850,0.0282
46.0,D,0.50,0.80,1.70,28.850,0.0436
47.15,A,4.00,2.00,0.10,28.850,0.2333
47.15,A,4.00,2.00,1.10,28.850,0.1436
47.15,A,4.00,2.00,1.70,28.850,0.0897
47.15,B,7.50,0.80,0.10,28.850,0.1980
47.15,B,7.50,0.80,1.10,28.850,0.0286
47.15,B,7.50,0.80,1.70,28.850,0.0442
47.15,C,4.00,4.50,0.10,28.850,0.1977
47.15,C,4.00,4.50,1.10,28.850,0.0007
47.15,C,4.00,4.50,1.70,28.850,0.0007
47.15,D,0.50,0.80,0.10,28.850,0.1980
47.15,D,0.50,0.80,1.10,28.850,0.0286
47.15,D,0.50,0.80,1.70,28.850,0.0442
48.3,A,4.00,2.00,0.10,28.850,0.2363
48.3,A,4.00,2.00,1.10,28.850,0.1454
48.3,A,4.00,2.00,1.70,28.850,0.0908
48.3,B,7.50,0.80,0.10,28.850,0.2005
48.3,B,7.50,0.80,1.10,28.850,0.0289
48.3,B,7.50,0.80,1.70,28.850,0.0447
48.3,C,4.00,4.50,0.10,28.850,0.2002
48.3,C,4.00,4.50,1.10,28.850,0.0007
48.3,C,4.00,4.50,1.70,28.850,0.0007
