ix,iy,x,y,T
4,8,32.0,64.0,23.189
5,8,40.0,64.0,23.189
6,8,48.0,64.0,23.189
7,8,56.0,64.0,23.250
8,8,64.0,64.0,23.250
9,8,72.0,64.0,23.250
10,8,80.0,64.0,23.250
11,8,88.0,64.0,23.322
12,8,96.0,64.0,23.322
13,8,104.0,64.0,23.322
14,8,112.0,64.0,23.362
15,8,120.0,64.0,23.362
16,8,128.0,64.0,23.362
17,8,136.0,64.0,23.362
18,8,144.0,64.0,23.410
19,8,152.0,64.0,23.410
20,8,160.0,64.0,23.410
21,8,168.0,64.0,23.410
22,8,176.0,64.0,23.476
23,8,184.0,64.0,23.476
24,8,192.0,64.0,23.476
25,8,200.0,64.0,23.560
26,8,208.0,64.0,23.560
27,8,216.0,64.0,23.560
28,8,224.0,64.0,23.627
29,8,232.0,64.0,23.627
30,8,240.0,64.0,23.627
31,8,248.0,64.0,23.627
32,8,256.0,64.0,23.693
33,8,264.0,64.0,23.693
34,8,272.0,64.0,23.693
35,8,280.0,64.0,23.736
36,8,288.0,64.0,23.736
37,8,296.0,64.0,23.736
38,8,304.0,64.0,23.736
39,8,312.0,64.0,23.768
40,8,320.0,64.0,23.768
41,8,328.0,64.0,23.768
42,8,336.0,64.0,23.768
43,8,344.0,64.0,23.784
44,8,352.0,64.0,23.784
45,8,360.0,64.0,23.784
46,8,368.0,64.0,23.746
47,8,376.0,64.0,23.746
48,8,384.0,64.0,23.746
49,8,392.0,64.0,23.746
50,8,400.0,64.0,23.755
51,8,408.0,64.0,23.755
52,8,416.0,64.0,23.755
53,8,424.0,64.0,23.755
54,8,432.0,64.0,23.755
55,8,440.0,64.0,23.755
56,8,448.0,64.0,23.784
57,8,456.0,64.0,23.784
58,8,464.0,64.0,23.784
59,8,472.0,64.0,23.784
60,8,480.0,64.0,23.756
61,8,488.0,64.0,23.756
62,8,496.0,64.0,23.756
63,8,504.0,64.0,23.711
64,8,512.0,64.0,23.711
65,8,520.0,64.0,23.711
66,8,528.0,64.0,23.711
67,8,536.0,64.0,23.651
68,8,544.0,64.0,23.651
69,8,552.0,64.0,23.651
70,8,560.0,64.0,23.591
71,8,568.0,64.0,23.591
72,8,576.0,64.0,23.591
73,8,584.0,64.0,23.591
74,8,592.0,64.0,23.536
75,8,600.0,64.0,23.536
76,8,608.0,64.0,23.536
77,8,616.0,64.0,23.450
