ix,iz,x,z,T
63,4,504.0,32.0,23.822
64,4,512.0,32.0,23.822
65,4,520.0,32.0,23.822
66,4,528.0,32.0,23.822
67,4,536.0,32.0,23.766
68,4,544.0,32.0,23.766
69,4,552.0,32.0,23.766
70,4,560.0,32.0,23.733
71,4,568.0,32.0,23.733
72,4,576.0,32.0,23.733
73,4,584.0,32.0,23.733
74,4,592.0,32.0,23.709
75,4,600.0,32.0,23.709
76,4,608.0,32.0,23.709
77,4,616.0,32.0,23.699
78,4,624.0,32.0,23.699
79,4,632.0,32.0,23.699
80,4,640.0,32.0,23.699
81,4,648.0,32.0,23.694
82,4,656.0,32.0,23.694
83,4,664.0,32.0,23.694
84,4,672.0,32.0,23.694
85,4,680.0,32.0,23.684
86,4,688.0,32.0,23.684
87,4,696.0,32.0,23.684
88,4,704.0,32.0,23.674
89,4,712.0,32.0,23.674
90,4,720.0,32.0,23.674
91,4,728.0,32.0,23.741
92,4,736.0,32.0,23.741
93,4,744.0,32.0,23.741
94,4,752.0,32.0,23.741
95,4,760.0,32.0,24.074
96,4,768.0,32.0,24.074
4,5,32.0,40.0,23.943
5,5,40.0,40.0,23.943
6,5,48.0,40.0,23.943
7,5,56.0,40.0,23.697
8,5,64.0,40.0,23.697
9,5,72.0,40.0,23.697
10,5,80.0,40.0,23.697
11,5,88.0,40.0,23.676
12,5,96.0,40.0,23.676
13,5,104.0,40.0,23.676
14,5,112.0,40.0,23.690
15,5,120.0,40.0,23.690
16,5,128.0,40.0,23.690
17,5,136.0,40.0,23.690
18,5,144.0,40.0,23.698
19,5,152.0,40.0,23.698
20,5,160.0,40.0,23.698
21,5,168.0,40.0,23.698
22,5,176.0,40.0,23.701
23,5,184.0,40.0,23.701
24,5,192.0,40.0,23.701
25,5,200.0,40.0,23.718
26,5,208.0,40.0,23.718
27,5,216.0,40.0,23.718
28,5,224.0,40.0,23.753
29,5,232.0,40.0,23.753
30,5,240.0,40.0,23.753
31,5,248.0,40.0,23.753
32,5,256.0,40.0,23.800
33,5,264.0,40.0,23.800
34,5,272.0,40.0,23.800
35,5,280.0,40.0,23.855
36,5,288.0,40.0,23.855
37,5,296.0,40.0,23.855
38,5,304.0,40.0,23.855
39,5,312.0,40.0,23.871
40,5,320.0,40.0,23.871
41,5,328.0,40.0,23.871
42,5,336.0,40.0,23.871
43,5,344.0,40.0,23.319
44,5,352.0,40.0,23.319
45,5,360.0,40.0,23.319
46,5,368.0,40.0,21.772
47,5,376.0,40.0,21.772
48,5,384.0,40.0,21.772
49,5,392.0,40.0,21.772
50,5,400.0,40.0,21.332
51,5,408.0,40.0,21.332
52,5,416.0,40.0,21.332
53,5,424.0,40.0,22.262
54,5,432.0,40.0,22.262
55,5,440.0,40.0,22.262
56,5,448.0,40.0,23.648
57,5,456.0,40.0,23.648
58,5,464.0,40.0,23.648
59,5,472.0,40.0,23.648
60,5,480.0,40.0,23.878
61,5,488.0,40.0,23.878
62,5,496.0,40.0,23.878
63,5,504.0,40.0,23.822
64,5,512.0,40.0,23.822
65,5,520.0,40.0,23.822
66,5,528.0,40.0,23.822
67,5,536.0,40.0,23.766
68,5,544.0,40.0,23.766
69,5,552.0,40.0,23.766
70,5,560.0,40.0,23.733
71,5,568.0,40.0,23.733
72,5,576.0,40.0,23.733
73,5,584.0,40.0,23.733
74,5,592.0,40.0,23.709
75,5,600.0,40.0,23.709
76,5,608.0,40.0,23.709
77,5,616.0,40.0,23.699
78,5,624.0,40.0,23.699
79,5,632.0,40.0,23.699
80,5,640.0,40.0,23.699
81,5,648.0,40.0,23.694
82,5,656.0,40.0,23.694
83,5,664.0,40.0,23.694
84,5,672.0,40.0,23.694
85,5,680.0,40.0,23.684
86,5,688.0,40.0,23.684
87,5,696.0,40.0,23.684
88,5,704.0,40.0,23.674
89,5,712.0,40.0,23.674
90,5,720.0,40.0,23.674
91,5,728.0,40.0,23.741
92,5,736.0,40.0,23.741
93,5,744.0,40.0,23.741
94,5,752.0,40.0,23.741
95,5,760.0,40.0,24.074
96,5,768.0,40.0,24.074
4,6,32.0,48.0,23.943
5,6,40.0,48.0,23.943
6,6,48.0,48.0,23.943
7,6,56.0,48.0,23.697
8,6,64.0,48.0,23.697
9,6,72.0,48.0,23.697
10,6,80.0,48.0,23.697
11,6,88.0,48.0,23.676
12,6,96.0,48.0,23.676
13,6,104.0,48.0,23.676
14,6,112.0,48.0,23.690
15,6,120.0,48.0,23.690
16,6,128.0,48.0,23.690
17,6,136.0,48.0,23.690
18,6,144.0,48.0,23.698
19,6,152.0,48.0,23.698
20,6,160.0,48.0,23.698
21,6,168.0,48.0,23.698
22,6,176.0,48.0,23.701
23,6,184.0,48.0,23.701
24,6,192.0,48.0,23.701
