t_s,point,ue_x,ue_y,z,T_C,U_mag
28.73,B,7.50,0.80,1.10,27.676,0.1851
28.73,B,7.50,0.80,1.70,28.357,0.0894
28.73,C,4.00,4.50,0.10,27.163,0.1854
28.73,C,4.00,4.50,1.10,27.450,0.2884
28.73,C,4.00,4.50,1.70,24.972,0.7437
28.73,D,0.50,0.80,0.10,26.914,0.4146
28.73,D,0.50,0.80,1.10,27.676,0.1851
28.73,D,0.50,0.80,1.70,28.357,0.0894
29.61,A,4.00,2.00,0.10,27.498,0.2112
29.61,A,4.00,2.00,1.10,27.647,0.0956
29.61,A,4.00,2.00,1.70,27.583,0.2438
29.61,B,7.50,0.80,0.10,26.892,0.4112
29.61,B,7.50,0.80,1.10,27.597,0.1880
29.61,B,7.50,0.80,1.70,28.313,0.0916
29.61,C,4.00,4.50,0.10,27.098,0.1879
29.61,C,4.00,4.50,1.10,27.418,0.2793
29.61,C,4.00,4.50,1.70,24.812,0.7486
29.61,D,0.50,0.80,0.10,26.892,0.4112
29.61,D,0.50,0.80,1.10,27.597,0.1880
29.61,D,0.50,0.80,1.70,28.313,0.0916
30.49,A,4.00,2.00,0.10,27.525,0.1941
30.49,A,4.00,2.00,1.10,27.630,0.0869
30.49,A,4.00,2.00,1.70,27.543,0.2304
30.49,B,7.50,0.80,0.10,26.865,0.4076
30.49,B,7.50,0.80,1.10,27.502,0.1904
30.49,B,7.50,0.80,1.70,28.260,0.0961
30.49,C,4.00,4.50,0.10,27.032,0.1988
30.49,C,4.00,4.50,1.10,27.352,0.2762
30.49,C,4.00,4.50,1.70,24.653,0.7596
30.49,D,0.50,0.80,0.10,26.865,0.4076
30.49,D,0.50,0.80,1.10,27.502,0.1904
30.49,D,0.50,0.80,1.70,28.260,0.0961
31.37,A,4.00,2.00,0.10,27.552,0.1769
31.37,A,4.00,2.00,1.10,27.622,0.0808
31.37,A,4.00,2.00,1.70,27.521,0.2193
31.37,B,7.50,0.80,0.10,26.830,0.4033
31.37,B,7.50,0.80,1.10,27.387,0.1931
31.37,B,7.50,0.80,1.70,28.194,0.1005
31.37,C,4.00,4.50,0.10,26.966,0.2187
31.37,C,4.00,4.50,1.10,27.235,0.2821
31.37,C,4.00,4.50,1.70,24.550,0.7685
31.37,D,0.50,0.80,0.10,26.830,0.4033
31.37,D,0.50,0.80,1.10,27.387,0.1931
31.37,D,0.50,0.80,1.70,28.194,0.1005
32.25,A,4.00,2.00,0.10,27.578,0.1595
32.25,A,4.00,2.00,1.10,27.620,0.0788
32.25,A,4.00,2.00,1.70,27.513,0.2110
32.25,B,7.50,0.80,0.10,26.789,0.3977
32.25,B,7.50,0.80,1.10,27.257,0.1951
32.25,B,7.50,0.80,1.70,28.113,0.1037
32.25,C,4.00,4.50,0.10,26.898,0.2470
32.25,C,4.00,4.50,1.10,27.018,0.3056
32.25,C,4.00,4.50,1.70,24.527,0.7702
32.25,D,0.50,0.80,0.10,26.789,0.3977
32.25,D,0.50,0.80,1.10,27.257,0.1951
32.25,D,0.50,0.80,1.70,28.113,0.1037
33.13,A,4.00,2.00,0.10,27.602,0.1421
33.13,A,4.00,2.00,1.10,27.617,0.0814
33.13,A,4.00,2.00,1.70,27.517,0.2058
33.13,B,7.50,0.80,0.10,26.741,0.3907
33.13,B,7.50,0.80,1.10,27.124,0.1957
33.13,B,7.50,0.80,1.70,28.024,0.1056
33.13,C,4.00,4.50,0.10,26.833,0.2827
33.13,C,4.00,4.50,1.10,26.687,0.3497
33.13,C,4.00,4.50,1.70,24.555,0.7662
33.13,D,0.50,0.80,0.10,26.741,0.3907
33.13,D,0.50,0.80,1.10,27.124,0.1957
33.13,D,0.50,0.80,1.70,28.024,0.1056
34.01,A,4.00,2.00,0.10,27.624,0.1247
34.01,A,4.00,2.00,1.10,27.602,0.0871
34.01,A,4.00,2.00,1.70,27.529,0.2044
34.01,B,7.50,0.80,0.10,26.687,0.3829
34.01,B,7.50,0.80,1.10,27.005,0.1941
34.01,B,7.50,0.80,1.70,27.939,0.1054
34.01,C,4.00,4.50,0.10,26.778,0.3226
34.01,C,4.00,4.50,1.10,26.311,0.4039
34.01,C,4.00,4.50,1.70,24.593,0.7609
34.01,D,0.50,0.80,0.10,26.687,0.3829
34.01,D,0.50,0.80,1.10,27.005,0.1941
34.01,D,0.50,0.80,1.70,27.939,0.1054
34.89,A,4.00,2.00,0.10,27.644,0.1075
34.89,A,4.00,2.00,1.10,27.570,0.0939
34.89,A,4.00,2.00,1.70,27.539,0.2068
34.89,B,7.50,0.80,0.10,26.630,0.3751
34.89,B,7.50,0.80,1.10,26.909,0.1911
34.89,B,7.50,0.80,1.70,27.865,0.1036
34.89,C,4.00,4.50,0.10,26.734,0.3592
34.89,C,4.00,4.50,1.10,25.978,0.4545
34.89,C,4.00,4.50,1.70,24.626,0.7560
34.89,D,0.50,0.80,0.10,26.630,0.3751
34.89,D,0.50,0.80,1.10,26.909,0.1911
34.89,D,0.50,0.80,1.70,27.865,0.1036
35.77,A,4.00,2.00,0.10,27.662,0.0909
35.77,A,4.00,2.00,1.10,27.522,0.1000
35.77,A,4.00,2.00,1.70,27.535,0.2118
35.77,B,7.50,0.80,0.10,26.572,0.3680
35.77,B,7.50,0.80,1.10,26.839,0.1864
35.77,B,7.50,0.80,1.70,27.807,0.1014
35.77,C,4.00,4.50,0.10,26.695,0.3887
35.77,C,4.00,4.50,1.10,25.727,0.4947
35.77,C,4.00,4.50,1.70,24.649,0.7521
35.77,D,0.50,0.80,0.10,26.571,0.3680
35.77,D,0.50,0.80,1.10,26.839,0.1864
35.77,D,0.50,0.80,1.70,27.807,0.1014
36.65,A,4.00,2.00,0.10,27.676,0.0754
36.65,A,4.00,2.00,1.10,27.463,0.1049
36.65,A,4.00,2.00,1.70,27.503,0.2182
36.65,B,7.50,0.80,0.10,26.514,0.3618
36.65,B,7.50,0.80,1.10,26.796,0.1803
36.65,B,7.50,0.80,1.70,27.765,0.0966
36.65,C,4.00,4.50,0.10,26.660,0.4076
36.65,C,4.00,4.50,1.10,25.559,0.5234
36.65,C,4.00,4.50,1.70,24.662,0.7489
36.65,D,0.50,0.80,0.10,26.514,0.3618
36.65,D,0.50,0.80,1.10,26.796,0.1803
36.65,D,0.50,0.80,1.70,27.765,0.0966
37.53,A,4.00,2.00,0.10,27.687,0.0613
37.53,A,4.00,2.00,1.10,27.398,0.1086
37.53,A,4.00,2.00,1.70,27.447,0.2253
37.53,B,7.50,0.80,0.10,26.461,0.3567
37.53,B,7.50,0.80,1.10,26.774,0.1750
37.53,B,7.50,0.80,1.70,27.737,0.0924
37.53,C,4.00,4.50,0.10,26.628,0.4147
37.53,C,4.00,4.50,1.10,25.458,0.5422
37.53,C,4.00,4.50,1.70,24.668,0.7463
