ix,iz,x,z,T
9,9,72.0,72.0,21.608
10,9,80.0,72.0,21.608
11,9,88.0,72.0,21.460
12,9,96.0,72.0,21.460
13,9,104.0,72.0,21.460
14,9,112.0,72.0,21.415
15,9,120.0,72.0,21.415
16,9,128.0,72.0,21.415
17,9,136.0,72.0,21.415
18,9,144.0,72.0,21.437
19,9,152.0,72.0,21.437
20,9,160.0,72.0,21.437
21,9,168.0,72.0,21.437
22,9,176.0,72.0,21.509
23,9,184.0,72.0,21.509
24,9,192.0,72.0,21.509
25,9,200.0,72.0,21.605
26,9,208.0,72.0,21.605
27,9,216.0,72.0,21.605
28,9,224.0,72.0,21.685
29,9,232.0,72.0,21.685
30,9,240.0,72.0,21.685
31,9,248.0,72.0,21.685
32,9,256.0,72.0,21.756
33,9,264.0,72.0,21.756
34,9,272.0,72.0,21.756
35,9,280.0,72.0,21.799
36,9,288.0,72.0,21.799
37,9,296.0,72.0,21.799
