dir,k,step,x,y,z,T
Xp,4,48,6.4723,1.9571,1.7411,21.351
Xp,5,48,6.4710,1.9951,1.7720,21.203
Xp,6,48,6.2600,1.9921,1.7041,21.100
Xp,7,48,6.0390,1.9992,1.7223,21.158
Xp,8,48,5.6154,1.9876,1.7794,21.102
Xp,0,49,5.1773,1.8493,1.8829,21.694
Xp,1,49,5.8010,1.8479,1.7117,21.528
Xp,2,49,6.5034,1.8679,1.7331,21.351
Xp,3,49,6.5034,1.9429,1.7331,21.351
Xp,4,49,6.4917,1.9589,1.7235,21.326
Xp,5,49,6.4930,1.9974,1.7545,21.203
Xp,6,49,6.2809,1.9929,1.6869,21.100
Xp,7,49,6.0579,1.9986,1.7062,21.130
Xp,8,49,5.6301,1.9849,1.7638,21.102
Xp,0,50,5.1833,1.8491,1.8700,21.694
Xp,1,50,5.8110,1.8474,1.6985,21.155
Xp,2,50,6.5225,1.8699,1.7156,21.326
Xp,3,50,6.5225,1.9449,1.7156,21.326
Xp,4,50,6.5110,1.9609,1.7060,21.326
Xp,5,50,6.5146,1.9999,1.7370,21.203
Xp,6,50,6.3014,1.9938,1.6698,21.196
Xp,7,50,6.0769,1.9982,1.6900,21.130
Xp,8,50,5.6445,1.9824,1.7482,21.102
Xp,0,51,5.1888,1.8489,1.8574,21.694
Xp,1,51,5.8216,1.8467,1.6849,21.155
Xp,2,51,6.5415,1.8719,1.6980,21.347
Xp,3,51,6.5415,1.9469,1.6980,21.347
Xp,4,51,6.5301,1.9630,1.6886,21.347
Xp,5,51,6.5360,2.0026,1.7196,21.292
Xp,6,51,6.3218,1.9949,1.6528,21.196
Xp,7,51,6.0958,1.9978,1.6737,21.130
Xp,8,51,5.6588,1.9798,1.7326,21.102
Xp,0,52,5.1938,1.8487,1.8449,21.669
Xp,1,52,5.8335,1.8457,1.6705,21.155
Xp,2,52,6.5604,1.8741,1.6805,21.347
Xp,3,52,6.5604,1.9491,1.6805,21.347
Xp,4,52,6.5493,1.9653,1.6711,21.347
Xp,5,52,6.5570,2.0056,1.7023,21.292
Xp,6,52,6.3419,1.9962,1.6359,21.196
Xp,7,52,6.1147,1.9976,1.6573,21.130
Xp,8,52,5.6734,1.9773,1.7168,21.225
Xp,0,53,5.1979,1.8486,1.8328,21.669
Xp,1,53,5.8462,1.8444,1.6555,21.155
Xp,2,53,6.5793,1.8764,1.6629,21.347
Xp,3,53,6.5793,1.9514,1.6629,21.347
Xp,4,53,6.5685,1.9678,1.6538,21.347
Xp,5,53,6.5778,2.0087,1.6850,21.292
Xp,6,53,6.3619,1.9977,1.6190,21.196
Xp,7,53,6.1337,1.9974,1.6408,21.130
Xp,8,53,5.6882,1.9748,1.7006,21.225
Xp,0,54,5.2011,1.8486,1.8210,21.669
Xp,1,54,5.8597,1.8431,1.6400,21.155
Xp,2,54,6.5982,1.8787,1.6453,21.347
Xp,3,54,6.5982,1.9537,1.6453,21.347
Xp,4,54,6.5877,1.9705,1.6364,21.292
Xp,5,54,6.5982,2.0119,1.6679,21.292
Xp,6,54,6.3817,1.9993,1.6021,21.222
Xp,7,54,6.1526,1.9974,1.6242,21.130
Xp,8,54,5.7036,1.9724,1.6841,21.196
Xp,0,55,5.2039,1.8485,1.8095,21.669
Xp,1,55,5.8736,1.8416,1.6242,21.155
Xp,2,55,6.6169,1.8811,1.6278,21.347
Xp,3,55,6.6169,1.9562,1.6278,21.347
Xp,4,55,6.6070,1.9734,1.6192,21.292
Xp,5,55,6.6183,2.0152,1.6507,21.292
Xp,6,55,6.4014,2.0010,1.5852,21.222
Xp,7,55,6.1716,1.9975,1.6075,21.142
Xp,8,55,5.7196,1.9700,1.6671,21.196
Xp,0,56,5.2065,1.8485,1.7979,21.669
Xp,1,56,5.8877,1.8401,1.6083,21.188
Xp,2,56,6.6356,1.8836,1.6103,21.347
Xp,3,56,6.6356,1.9587,1.6103,21.347
Xp,4,56,6.6263,1.9765,1.6020,21.286
Xp,5,56,6.6381,2.0186,1.6336,21.292
Xp,6,56,6.4209,2.0029,1.5681,21.215
Xp,7,56,6.1905,1.9976,1.5906,21.142
Xp,8,56,5.7362,1.9677,1.6496,20.809
Xp,0,57,5.2089,1.8484,1.7864,21.669
Xp,1,57,5.9016,1.8386,1.5923,21.188
